clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,remain_car_parking_space,remain_motorcycle_parking_space,car_occupied_long_term,motorcycle_occupied_long_term,bicycle_occupied_long_term,CPU_time(in second)
12,7,7,1,1,2,3,1,1,5,20,166,131,0,0,0,0,0,0,2,107,8,34,40,
13,10,10,2,2,4,4,1,1,6,20,166,131,0,0,0,0,0,0,2,107,8,34,40,
14,13,13,3,4,6,6,1,3,3,18,166,129,1,0,0,0,0,0,4,108,8,34,40,
15,9,9,2,2,4,4,1,1,4,18,166,129,0,0,0,0,0,0,4,108,8,34,40,
16,12,12,2,2,5,5,1,1,8,18,166,129,0,0,0,0,0,0,4,108,8,34,40,
17,24,24,5,5,10,13,5,3,7,17,163,131,1,0,0,0,0,0,5,110,8,34,40,
18,15,35,3,7,6,21,4,5,4,13,148,130,0,0,0,0,0,0,9,126,8,34,40,
19,3,8,1,2,2,4,1,2,-1,12,146,129,0,0,0,0,0,0,10,128,8,34,40,
20,9,21,2,6,4,11,2,4,1,8,139,127,0,0,0,0,0,0,14,136,8,34,40,
21,3,8,1,2,1,4,0,2,1,8,136,125,0,0,0,1,0,0,14,140,8,34,40,
22,0,0,0,0,0,0,0,0,0,8,136,125,0,0,0,0,0,0,14,140,8,34,40,
23,0,17,0,5,0,3,0,5,4,8,133,120,0,0,0,5,0,0,14,146,8,34,40,
0,0,0,0,0,0,0,0,0,0,8,133,120,0,0,0,0,0,0,14,146,8,34,40,
1,0,0,0,0,0,0,0,0,0,8,133,120,0,0,0,0,0,0,14,146,8,34,40,
2,0,0,0,0,0,0,0,0,0,8,133,120,0,0,0,0,0,0,14,146,8,34,40,
3,0,0,0,0,0,0,0,0,0,8,133,120,0,0,0,0,0,0,14,146,8,34,40,
4,0,0,0,0,0,0,0,0,0,8,133,120,0,0,0,0,0,0,14,146,8,34,40,
5,13,5,3,1,5,2,1,0,6,10,136,121,0,0,0,0,0,0,12,142,8,34,40,
6,28,0,6,0,14,0,3,0,5,16,150,124,0,0,0,0,0,0,6,127,8,34,40,
7,24,0,5,0,14,0,4,0,1,21,164,128,0,0,0,0,0,0,1,111,8,34,40,
8,25,10,6,3,11,5,5,2,3,19,170,131,5,0,0,0,0,0,3,103,8,34,40,
9,18,7,4,1,7,4,2,1,6,21,173,132,1,0,0,0,0,0,1,100,8,34,40,
10,14,6,3,1,6,3,1,1,5,21,176,132,2,0,0,0,0,0,1,97,8,34,40,
11,8,8,2,2,3,4,1,1,3,20,175,132,1,0,0,0,0,0,2,98,8,34,40,
12,3,3,1,1,1,1,0,0,2,20,175,132,0,0,0,0,0,0,2,98,8,34,40,
13,9,9,2,2,4,4,1,1,4,20,175,132,0,0,0,0,0,0,2,98,8,34,40,
14,15,15,3,4,8,8,2,3,2,18,175,131,1,0,0,0,0,0,4,98,8,34,40,
15,10,10,2,2,4,4,1,1,6,18,175,131,0,0,0,0,0,0,4,98,8,34,40,
16,11,11,2,2,4,4,1,1,8,18,175,131,0,0,0,0,0,0,4,98,8,34,40,
17,24,24,5,5,10,13,5,3,7,17,172,133,1,0,0,0,0,0,5,100,8,34,40,
18,16,38,3,8,6,23,5,6,3,12,155,132,0,0,0,0,0,0,10,118,8,34,40,
19,4,11,1,3,2,6,1,2,0,10,151,131,0,0,0,0,0,0,12,122,8,34,40,
20,9,23,2,6,4,12,2,5,1,8,143,128,0,0,0,2,0,0,14,132,8,34,40,
21,2,4,0,1,1,2,0,1,1,8,142,127,0,0,0,1,0,0,14,133,8,34,40,
22,0,0,0,0,0,0,0,0,0,8,142,127,0,0,0,0,0,0,14,133,8,34,40,
23,0,17,0,5,0,3,0,5,4,8,139,122,0,0,0,5,0,0,14,139,8,34,40,
0,0,0,0,0,0,0,0,0,0,8,139,122,0,0,0,0,0,0,14,139,8,34,40,
1,0,0,0,0,0,0,0,0,0,8,139,122,0,0,0,0,0,0,14,139,8,34,40,
2,0,0,0,0,0,0,0,0,0,8,139,122,0,0,0,0,0,0,14,139,8,34,40,
