clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,CPU_time
6,29,0,3,0,8,0,3,0,15,18,8,29,0,0,0,0,0,0,
7,13,0,3,0,0,0,1,0,9,21,8,30,0,0,0,0,0,0,
8,16,16,3,3,5,5,3,3,10,19,8,30,2,0,0,0,0,0,
9,11,11,2,2,3,3,2,2,8,19,8,30,0,0,0,0,0,0,
10,10,10,2,2,3,3,2,2,6,19,8,30,0,0,0,0,0,0,
11,13,13,3,3,4,4,3,3,6,19,8,30,0,0,0,0,0,0,
12,6,6,1,1,2,2,1,1,4,19,8,30,0,0,0,0,0,0,
13,10,10,2,2,3,3,2,2,6,19,8,30,0,0,0,0,0,0,
14,17,17,3,3,5,5,3,3,12,19,8,30,0,0,0,0,0,0,
15,6,6,1,1,2,2,1,1,4,19,8,30,0,0,0,0,0,0,
16,6,6,1,1,2,2,1,1,4,19,8,30,0,0,0,0,0,0,
17,48,13,3,0,5,5,11,1,36,22,8,40,0,0,0,0,0,0,
18,6,60,1,5,2,16,1,5,36,17,0,36,1,0,0,0,6,0,
19,4,4,1,1,1,1,1,1,2,17,0,36,0,0,0,0,0,0,
20,24,24,5,5,7,7,5,5,14,17,0,36,0,0,0,0,0,0,
21,4,4,1,1,1,1,1,1,2,17,0,36,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,17,0,36,0,0,0,0,0,0,
23,20,20,4,4,6,6,4,4,12,17,0,36,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,17,0,36,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,17,0,36,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,17,0,36,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,17,0,36,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,17,0,36,0,0,0,0,0,0,
5,4,4,1,1,1,1,1,1,2,17,0,36,0,0,0,0,0,0,
6,30,0,3,0,8,0,3,0,16,20,8,39,0,0,0,0,0,0,
7,14,0,4,0,0,0,1,0,9,22,8,40,2,0,0,0,0,0,
8,17,17,3,3,5,5,3,3,12,19,8,40,3,0,0,0,0,0,
9,5,5,1,1,2,2,1,1,2,19,8,40,0,0,0,0,0,0,
10,5,5,1,1,2,2,1,1,2,19,8,40,0,0,0,0,0,0,
11,9,9,2,2,3,3,2,2,4,19,8,40,0,0,0,0,0,0,
12,5,5,1,1,2,2,1,1,2,19,8,40,0,0,0,0,0,0,
13,6,6,1,1,2,2,1,1,4,19,8,40,0,0,0,0,0,0,
14,13,13,3,3,4,4,3,3,6,19,8,40,0,0,0,0,0,0,
15,7,7,1,1,2,2,1,1,6,19,8,40,0,0,0,0,0,0,
16,6,6,1,1,2,2,1,1,4,19,8,40,0,0,0,0,0,0,
17,53,14,3,0,5,5,12,1,41,22,8,51,0,0,0,0,0,0,
18,6,57,1,5,2,15,1,5,34,17,0,47,1,0,0,0,5,0,
19,4,4,1,1,1,1,1,1,2,17,0,47,0,0,0,0,0,0,
20,19,19,4,4,6,6,4,4,10,17,0,47,0,0,0,0,0,0,
21,4,4,1,1,1,1,1,1,2,17,0,47,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,17,0,47,0,0,0,0,0,0,
23,7,7,1,1,2,2,1,1,6,17,0,47,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,17,0,47,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,17,0,47,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,17,0,47,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,17,0,47,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,17,0,47,0,0,0,0,0,0,
5,3,3,1,1,1,1,1,1,0,17,0,47,0,0,0,0,0,0,
6,29,0,3,0,8,0,3,0,15,20,8,50,0,0,0,0,0,0,
7,18,0,5,0,0,0,1,0,12,22,8,51,3,0,0,0,0,0,
8,11,11,2,2,3,3,2,2,8,20,8,51,2,0,0,0,0,0,
9,12,12,2,2,4,4,2,2,8,20,8,51,0,0,0,0,0,0,
10,2,2,0,0,1,1,0,0,2,20,8,51,0,0,0,0,0,0,
11,9,9,2,2,3,3,2,2,4,20,8,51,0,0,0,0,0,0,
12,4,4,1,1,1,1,1,1,2,20,8,51,0,0,0,0,0,0,
13,7,7,1,1,2,2,1,1,6,20,8,51,0,0,0,0,0,0,
14,8,8,2,2,2,2,2,2,4,20,8,51,0,0,0,0,0,0,
15,10,10,2,2,3,3,2,2,6,20,8,51,0,0,0,0,0,0,
16,9,9,2,2,3,3,2,2,4,20,8,51,0,0,0,0,0,0,
17,46,13,3,0,5,5,10,1,35,22,8,60,1,0,0,0,0,0,
18,5,51,1,4,2,13,1,4,31,18,0,57,1,0,0,0,3,0,
19,3,3,1,1,1,1,1,1,0,18,0,57,0,0,0,0,0,0,
20,13,13,3,3,4,4,3,3,6,18,0,57,0,0,0,0,0,0,
21,3,3,1,1,1,1,1,1,0,18,0,57,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,18,0,57,0,0,0,0,0,0,
23,13,13,3,3,4,4,3,3,6,18,0,57,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,18,0,57,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,18,0,57,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,18,0,57,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,18,0,57,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,18,0,57,0,0,0,0,0,0,
5,3,3,1,1,1,1,1,1,0,18,0,57,0,0,0,0,0,0,
6,25,0,2,0,7,0,2,0,14,20,7,59,0,0,0,0,0,0,
7,26,0,7,0,0,0,2,0,17,22,7,61,5,0,0,0,0,0,
8,22,22,4,4,7,7,4,4,14,18,7,61,4,0,0,0,0,0,
9,12,12,2,2,4,4,2,2,8,18,7,61,0,0,0,0,0,0,
10,7,7,1,1,2,2,1,1,6,18,7,61,0,0,0,0,0,0,
11,10,10,2,2,3,3,2,2,6,18,7,61,0,0,0,0,0,0,
12,5,5,1,1,2,2,1,1,2,18,7,61,0,0,0,0,0,0,
13,11,11,2,2,3,3,2,2,8,18,7,61,0,0,0,0,0,0,
14,11,11,2,2,3,3,2,2,8,18,7,61,0,0,0,0,0,0,
15,8,8,2,2,2,2,2,2,4,18,7,61,0,0,0,0,0,0,
