clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,remain_car_parking_space,remain_motorcycle_parking_space,CPU_time(in second)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.80821917808219,1019.6821917808219,197.5095890410959,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.23315119743347168
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.80821917808219,1019.6821917808219,197.5095890410959,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.80821917808219,1019.6821917808219,197.5095890410959,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.80821917808219,1019.6821917808219,197.5095890410959,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.80821917808219,1019.6821917808219,197.5095890410959,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
5,6.635616438356164,2.5835616438356164,1.2904109589041095,0.5506849315068493,2.7315068493150685,1.010958904109589,0.6904109589041096,0.0,2.9452054794520546,28.54794520547945,1021.4027397260274,198.2,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
6,31.17808219178082,0.0,6.243835616438356,0.0,15.58904109589041,0.0,3.115068493150685,0.0,6.23013698630137,34.79178082191781,1036.9917808219177,201.31506849315068,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
7,21.473972602739725,0.0,4.295890410958904,0.0,12.893150684931507,0.0,3.197260273972603,0.0,1.0876712328767124,39.087671232876716,1049.8849315068494,204.51232876712328,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
8,28.726027397260275,12.07123287671233,7.219178082191781,3.6301369863013697,12.972602739726028,6.021917808219178,5.739726027397261,2.408219178082192,2.8054794520547945,42.676712328767124,1056.835616438356,207.84383561643835,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
9,21.112328767123287,8.778082191780822,4.235616438356164,1.7945205479452055,8.389041095890411,4.841095890410959,2.073972602739726,0.9917808219178083,7.564383561643836,45.11780821917808,1060.3835616438357,208.92602739726027,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
10,14.106849315068493,5.8054794520547945,2.824657534246575,1.0904109589041096,5.641095890410959,2.904109589041096,1.4547945205479451,0.6520547945205479,5.345205479452055,46.85205479452055,1063.1205479452055,209.72876712328767,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
11,10.2,10.2,2.041095890410959,2.041095890410959,4.073972602739726,5.109589041095891,1.0328767123287672,1.0328767123287672,5.068493150684931,46.85205479452055,1062.0849315068492,209.72876712328767,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
12,4.682191780821918,4.682191780821918,0.9534246575342465,0.9534246575342465,1.5342465753424657,1.895890410958904,0.2958904109589041,0.2958904109589041,3.4356164383561643,46.85205479452055,1061.7232876712328,209.72876712328767,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
13,10.172602739726027,10.172602739726027,2.0383561643835617,2.0383561643835617,4.079452054794521,4.079452054794521,1.0054794520547945,1.0054794520547945,6.098630136986301,46.85205479452055,1061.7232876712328,209.72876712328767,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
14,16.14246575342466,16.14246575342466,3.2164383561643834,4.772602739726027,8.068493150684931,8.068493150684931,1.7287671232876711,3.2164383561643834,3.213698630136986,45.295890410958904,1061.7232876712328,208.24109589041095,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
15,10.287671232876713,10.287671232876713,2.0767123287671234,2.0767123287671234,4.101369863013699,4.101369863013699,1.0191780821917809,1.0191780821917809,6.1808219178082195,45.295890410958904,1061.7232876712328,208.24109589041095,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
16,10.153424657534247,10.153424657534247,2.0547945205479454,2.0547945205479454,4.104109589041096,4.104109589041096,1.0191780821917809,1.0191780821917809,5.950684931506849,45.295890410958904,1061.7232876712328,208.24109589041095,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
17,23.22739726027397,23.22739726027397,4.608219178082192,4.608219178082192,9.304109589041095,12.783561643835617,4.608219178082192,2.852054794520548,7.69041095890411,45.295890410958904,1058.2438356164384,209.9972602739726,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
18,14.468493150684932,34.413698630136984,2.915068493150685,6.868493150684931,5.786301369863014,20.613698630136987,4.243835616438356,5.115068493150685,3.33972602739726,41.342465753424655,1043.4164383561645,209.1260273972603,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
19,4.315068493150685,10.575342465753424,0.9643835616438357,2.5506849315068494,2.136986301369863,5.879452054794521,1.106849315068493,2.1095890410958904,0.14246575342465753,39.75616438356165,1039.6739726027397,208.12328767123287,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
20,9.416438356164383,22.564383561643837,1.8876712328767122,6.298630136986302,3.802739726027397,11.542465753424658,1.8876712328767122,4.561643835616438,2.0,35.345205479452055,1031.9342465753425,205.44931506849315,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
21,2.6082191780821917,6.624657534246575,0.5726027397260274,1.5808219178082192,1.0301369863013699,3.66027397260274,0.0027397260273972603,1.3068493150684932,1.0794520547945206,34.33698630136986,1029.304109589041,204.14520547945204,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.33698630136986,1029.304109589041,204.14520547945204,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,
23,0.0,21.03013698630137,0.0,6.3342465753424655,0.0,4.1808219178082195,0.0,5.863013698630137,4.652054794520548,28.013698630136986,1025.123287671233,198.2821917808219,0.0,0.0,0.0,0.010958904109589041,0.0,0.0,inf,inf,
