clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,remain_car_parking_space,remain_motorcycle_parking_space,car_occupied_long_term,motorcycle_occupied_long_term,bicycle_occupied_long_term,CPU_time(in second)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01917808219178,167.03287671232877,229.186301369863,0.0,0.0,0.0,0.0,0.0,0.0,13.98082191780822,57.136986301369866,8.0,34.0,40.0,0.22238874435424805
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01917808219178,167.03287671232877,229.186301369863,0.0,0.0,0.0,0.0,0.0,0.0,13.98082191780822,57.136986301369866,8.0,34.0,40.0,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01917808219178,167.03287671232877,229.186301369863,0.0,0.0,0.0,0.0,0.0,0.0,13.98082191780822,57.136986301369866,8.0,34.0,40.0,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01917808219178,167.03287671232877,229.186301369863,0.0,0.0,0.0,0.0,0.0,0.0,13.98082191780822,57.136986301369866,8.0,34.0,40.0,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01917808219178,167.03287671232877,229.186301369863,0.0,0.0,0.0,0.0,0.0,0.0,13.98082191780822,57.136986301369866,8.0,34.0,40.0,
5,6.32054794520548,2.452054794520548,1.252054794520548,0.4931506849315068,2.6082191780821917,0.947945205479452,0.6136986301369863,0.005479452054794521,2.852054794520548,8.778082191780822,168.6931506849315,229.7945205479452,0.0,0.0,0.0,0.0,0.0,0.0,13.221917808219178,55.16712328767123,8.0,34.0,40.0,
6,31.194520547945206,0.0,6.241095890410959,0.0,15.58904109589041,0.0,3.1095890410958904,0.0,6.254794520547946,15.01917808219178,184.2821917808219,232.9041095890411,0.0,0.0,0.0,0.0,0.0,0.0,6.980821917808219,38.01917808219178,8.0,34.0,40.0,
7,21.09041095890411,0.0,4.235616438356164,0.0,12.663013698630136,0.0,3.1342465753424658,0.0,1.0575342465753426,19.22739726027397,196.94520547945206,236.03835616438357,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,2.7726027397260276,23.78082191780822,8.0,34.0,40.0,
8,29.03287671232877,12.172602739726027,7.301369863013699,3.665753424657534,13.169863013698631,6.109589041095891,5.8191780821917805,2.3753424657534246,2.7643835616438355,18.326027397260273,203.07397260273973,239.3972602739726,4.536986301369863,0.9315068493150684,0.08493150684931507,0.0,0.0,0.0,3.673972602739726,15.967123287671233,8.0,34.0,40.0,
9,21.405479452054795,8.904109589041095,4.301369863013699,1.8164383561643835,8.523287671232877,4.931506849315069,2.095890410958904,0.989041095890411,7.652054794520548,20.04931506849315,206.05205479452056,240.4986301369863,0.7616438356164383,0.6136986301369863,0.005479452054794521,0.0,0.0,0.0,1.9506849315068493,12.449315068493151,8.0,34.0,40.0,
10,14.523287671232877,5.961643835616439,2.9287671232876713,1.1369863013698631,5.786301369863014,2.9452054794520546,1.4794520547945205,0.6657534246575343,5.542465753424658,20.84931506849315,208.51232876712328,241.3041095890411,0.9917808219178083,0.38082191780821917,0.00821917808219178,0.0,0.0,0.0,1.1506849315068493,9.580821917808219,8.0,34.0,40.0,
11,10.197260273972603,10.197260273972603,2.0246575342465754,2.0246575342465754,4.079452054794521,5.120547945205479,1.021917808219178,1.021917808219178,5.101369863013699,19.947945205479453,206.9972602739726,241.2876712328767,0.9013698630136986,0.473972602739726,0.01643835616438356,0.0,0.0,0.0,2.052054794520548,11.101369863013698,8.0,34.0,40.0,
12,4.808219178082192,4.808219178082192,0.9671232876712329,0.9671232876712329,1.5452054794520549,1.936986301369863,0.33972602739726027,0.33972602739726027,3.5205479452054793,19.945205479452056,206.6054794520548,241.2876712328767,0.0027397260273972603,0.0,0.0,0.0,0.0,0.0,2.0547945205479454,11.493150684931507,8.0,34.0,40.0,
13,10.301369863013699,10.301369863013699,2.041095890410959,2.041095890410959,4.126027397260274,4.126027397260274,1.0383561643835617,1.0383561643835617,6.191780821917808,19.734246575342464,206.55616438356165,241.2876712328767,0.21095890410958903,0.049315068493150684,0.0,0.0,0.0,0.0,2.265753424657534,11.542465753424658,8.0,34.0,40.0,
14,16.235616438356164,16.235616438356164,3.249315068493151,4.802739726027397,8.076712328767123,8.076712328767123,1.7205479452054795,3.249315068493151,3.2958904109589042,17.17808219178082,204.9753424657534,239.72876712328767,1.0027397260273974,1.5808219178082192,0.030136986301369864,0.0,0.0,0.0,4.821917808219178,13.912328767123288,8.0,34.0,40.0,
15,10.202739726027398,10.202739726027398,2.0383561643835617,2.0383561643835617,4.082191780821918,4.082191780821918,1.0164383561643835,1.0164383561643835,6.131506849315069,17.17808219178082,204.9753424657534,239.72876712328767,0.0,0.0,0.0,0.0,0.0,0.0,4.821917808219178,13.912328767123288,8.0,34.0,40.0,
16,10.158904109589042,10.158904109589042,2.043835616438356,2.043835616438356,4.0849315068493155,4.0849315068493155,1.0328767123287672,1.0328767123287672,5.994520547945205,17.17808219178082,204.9753424657534,239.72876712328767,0.0,0.0,0.0,0.0,0.0,0.0,4.821917808219178,13.912328767123288,8.0,34.0,40.0,
17,23.268493150684932,23.268493150684932,4.663013698630137,4.663013698630137,9.29041095890411,12.824657534246576,4.663013698630137,2.841095890410959,7.5917808219178085,16.84931506849315,200.1041095890411,241.3972602739726,0.3287671232876712,1.336986301369863,0.15342465753424658,0.0,0.0,0.0,5.1506849315068495,17.942465753424656,8.0,34.0,40.0,
18,14.531506849315068,34.45205479452055,2.8986301369863012,6.863013698630137,5.824657534246575,20.65753424657534,4.271232876712329,5.158904109589041,3.3095890410958906,12.884931506849314,185.27123287671233,240.5095890410959,0.0,0.0,0.0,0.0,0.0,0.0,9.115068493150686,33.21095890410959,8.0,34.0,40.0,
19,4.252054794520548,10.556164383561644,0.9534246575342465,2.504109589041096,2.1506849315068495,5.901369863013699,1.1287671232876713,2.117808219178082,0.052054794520547946,11.334246575342465,181.5205479452055,239.5205479452055,0.0,0.0,0.0,0.0,0.0,0.0,10.665753424657535,37.46849315068493,8.0,34.0,40.0,
20,9.419178082191781,22.575342465753426,1.917808219178082,6.273972602739726,3.824657534246575,11.547945205479452,1.917808219178082,4.556164383561644,1.9561643835616438,8.2,173.7972602739726,236.88219178082193,0.0,0.0,0.0,1.2219178082191782,0.0,0.0,13.8,46.50410958904109,8.0,34.0,40.0,
