clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,CPU_time
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9946.08493150685,0.000273972602739726,34715.671506849314,0.0,0.0,0.0,0.0,0.0,0.0,2.504833221435547
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9946.08493150685,0.000273972602739726,34716.68849315069,0.0,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9946.08493150685,0.000273972602739726,34717.702739726024,0.0,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9946.08493150685,0.000273972602739726,34718.68246575342,0.0,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9946.08493150685,0.000273972602739726,34719.680273972604,0.0,0.0,0.0,0.0,0.0,0.0,
5,3.752328767123288,3.752328767123288,0.8986301369863013,0.8986301369863013,1.2161643835616438,1.2161643835616438,0.8986301369863013,0.8986301369863013,1.4778082191780821,9946.08493150685,0.000273972602739726,34720.26602739726,0.0,0.0,0.0,0.0,0.0,0.0,
6,25.022465753424658,0.0,2.1824657534246574,0.0,6.549041095890411,0.0,2.1824657534246574,0.0,14.108493150684932,9948.267397260273,6.549315068493151,34723.37835616439,0.0,0.0,0.0,0.0,0.0,0.0,
7,16.974520547945204,0.0,4.532602739726028,0.0,0.0,0.0,1.0767123287671232,0.0,11.365205479452055,9952.8,6.549315068493151,34724.37726027397,0.0,0.0,0.0,0.0,0.0,0.0,
8,16.795616438356163,16.795616438356163,3.3597260273972602,3.3597260273972602,5.005479452054795,5.005479452054795,3.3597260273972602,3.3597260273972602,10.141369863013699,9952.8,6.549315068493151,34724.912876712326,0.0,0.0,0.0,0.0,0.0,0.0,
9,12.211232876712328,12.211232876712328,2.4334246575342466,2.4334246575342466,3.627945205479452,3.627945205479452,2.4334246575342466,2.4334246575342466,7.432876712328767,9952.8,6.549315068493151,34725.44602739726,0.0,0.0,0.0,0.0,0.0,0.0,
10,8.241095890410959,8.241095890410959,1.6616438356164382,1.6616438356164382,2.466027397260274,2.466027397260274,1.6616438356164382,1.6616438356164382,4.903561643835617,9952.8,6.549315068493151,34725.99616438356,0.0,0.0,0.0,0.0,0.0,0.0,
11,8.314246575342466,8.314246575342466,1.6772602739726028,1.6772602739726028,2.4813698630136987,2.4813698630136987,1.6772602739726028,1.6772602739726028,4.956712328767123,9952.8,6.549315068493151,34726.53698630137,0.0,0.0,0.0,0.0,0.0,0.0,
12,3.719178082191781,3.719178082191781,0.8876712328767123,0.8876712328767123,1.2043835616438356,1.2043835616438356,0.8876712328767123,0.8876712328767123,1.4789041095890412,9952.8,6.549315068493151,34727.13260273972,0.0,0.0,0.0,0.0,0.0,0.0,
13,8.261917808219177,8.261917808219177,1.660821917808219,1.660821917808219,2.4676712328767123,2.4676712328767123,1.660821917808219,1.660821917808219,4.945205479452055,9952.8,6.549315068493151,34727.720273972605,0.0,0.0,0.0,0.0,0.0,0.0,
14,16.779452054794522,16.779452054794522,3.3528767123287673,3.3528767123287673,4.992602739726028,4.992602739726028,3.3528767123287673,3.3528767123287673,10.162191780821917,9952.8,6.549315068493151,34728.23452054794,0.0,0.0,0.0,0.0,0.0,0.0,
15,8.27917808219178,8.27917808219178,1.6619178082191781,1.6619178082191781,2.4816438356164383,2.4816438356164383,1.6619178082191781,1.6619178082191781,4.947397260273973,9952.8,6.549315068493151,34728.79178082192,0.0,0.0,0.0,0.0,0.0,0.0,
16,8.216438356164383,8.216438356164383,1.6504109589041096,1.6504109589041096,2.4556164383561643,2.4556164383561643,1.6504109589041096,1.6504109589041096,4.92,9952.8,6.549315068493151,34729.342739726024,0.0,0.0,0.0,0.0,0.0,0.0,
17,49.48219178082192,13.506849315068493,2.9794520547945207,0.0,4.962739726027397,4.816712328767124,10.903287671232876,1.0,38.32684931506849,9955.779452054794,6.695342465753424,34734.08410958904,0.0,0.0,0.0,0.0,0.0,0.0,
18,6.085479452054795,60.77753424657534,1.0298630136986302,5.2964383561643835,1.9827397260273973,15.831780821917809,1.0298630136986302,5.2964383561643835,36.395890410958906,9951.51287671233,0.000273972602739726,34730.537808219175,0.0,0.0,0.0,0.0,7.153972602739726,0.0,
19,3.737808219178082,3.737808219178082,0.8871232876712328,0.8871232876712328,1.2136986301369863,1.2136986301369863,0.8871232876712328,0.8871232876712328,1.4997260273972604,9951.51287671233,0.000273972602739726,34731.14630136986,0.0,0.0,0.0,0.0,0.0,0.0,
