clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,remain_car_parking_space,remain_motorcycle_parking_space,CPU_time(in second)
10,14.214520547945206,5.837808219178082,2.134794520547945,0.9649315068493151,4.18931506849315,1.660821917808219,3.408219178082192,1.2676712328767124,6.426575342465753,88.57616438356165,44.48986301369863,1154.1158904109589,0.5761643835616438,1.6136986301369862,0.8553424657534247,0.0,0.0,0.0,1.423835616438356,5.172054794520548,
11,10.24876712328767,10.24876712328767,1.6443835616438356,1.6443835616438356,3.0665753424657534,3.0665753424657534,2.4424657534246577,2.4424657534246577,6.1906849315068495,88.02356164383562,42.97890410958904,1153.4019178082192,0.5526027397260274,1.510958904109589,0.7139726027397261,0.0,0.0,0.0,1.9764383561643835,7.057534246575343,
12,4.778082191780822,4.778082191780822,0.9038356164383562,0.9038356164383562,1.2284931506849315,1.2284931506849315,1.027945205479452,1.027945205479452,3.2356164383561645,88.02328767123288,42.97808219178082,1153.4016438356164,0.000273972602739726,0.0008219178082191781,0.000273972602739726,0.0,0.0,0.0,1.9767123287671233,7.058630136986301,
13,10.291780821917808,10.291780821917808,1.64986301369863,1.64986301369863,3.0893150684931507,3.0893150684931507,2.4526027397260273,2.4526027397260273,6.2,87.83397260273972,42.56958904109589,1153.1980821917807,0.1893150684931507,0.4084931506849315,0.20356164383561645,0.0,0.0,0.0,2.166027397260274,7.527397260273973,
14,16.14109589041096,16.14109589041096,2.4638356164383564,2.4638356164383564,4.788493150684931,4.788493150684931,3.906027397260274,3.906027397260274,9.965479452054794,87.27041095890411,40.992602739726024,1152.347397260274,0.5635616438356165,1.576986301369863,0.8506849315068493,0.0,0.0,0.0,2.7295890410958905,9.556164383561644,
15,10.252876712328767,10.252876712328767,1.644931506849315,1.644931506849315,3.0652054794520547,3.0652054794520547,2.443013698630137,2.443013698630137,6.199452054794521,87.26849315068493,40.972054794520545,1152.3364383561643,0.0019178082191780822,0.02054794520547945,0.010958904109589041,0.0,0.0,0.0,2.7315068493150685,9.581369863013698,
16,10.207945205479453,10.207945205479453,1.64,1.64,3.04986301369863,3.04986301369863,2.4276712328767123,2.4276712328767123,6.1808219178082195,87.26767123287671,40.95753424657534,1152.3265753424657,0.0008219178082191781,0.01452054794520548,0.009863013698630137,0.0,0.0,0.0,2.732328767123288,9.600547945205479,
17,23.282739726027398,23.282739726027398,3.6295890410958904,3.6295890410958904,6.934246575342466,6.934246575342466,5.694246575342466,5.694246575342466,14.04931506849315,86.18383561643836,38.71150684931507,1151.0983561643836,1.0838356164383562,2.246027397260274,1.2282191780821918,0.0,0.0,0.0,3.816164383561644,12.490684931506848,
18,14.577534246575343,34.64082191780822,2.197808219178082,5.409041095890411,4.288219178082191,10.214794520547946,3.5306849315068494,8.547671232876713,15.03013698630137,82.97013698630137,32.7813698630137,1146.0797260273973,0.002465753424657534,0.006575342465753425,0.0016438356164383563,0.0,0.0030136986301369864,0.0,7.02986301369863,20.93013698630137,
19,4.347397260273973,10.715616438356165,0.8972602739726028,1.778904109589041,1.0405479452054796,3.1915068493150685,0.9994520547945206,2.6106849315068494,4.544657534246575,82.08849315068493,30.64301369863014,1144.468493150685,0.0,0.0,0.0,0.0,0.012602739726027398,0.0,7.911506849315068,23.878630136986303,
20,9.456712328767123,22.67150684931507,1.4715068493150685,3.5306849315068494,2.8413698630136985,6.683013698630137,2.232054794520548,5.543287671232877,9.826301369863014,80.02931506849315,27.10054794520548,1141.1572602739725,0.0,0.0,0.0,0.0,0.2991780821917808,0.0,9.970684931506849,29.076986301369864,
21,2.6041095890410957,6.615616438356164,0.03561643835616438,0.9967123287671232,0.9569863013698631,1.881095890410959,0.6117808219178082,1.61013698630137,3.127397260273973,79.06821917808219,26.387123287671233,1140.158904109589,0.0,0.0,0.0,0.0,0.2106849315068493,0.0,10.931780821917808,30.277808219178084,
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.06821917808219,26.387123287671233,1140.158904109589,0.0,0.0,0.0,0.0,0.0,0.0,10.931780821917808,30.277808219178084,
23,0.0,21.24931506849315,0.0,3.297808219178082,0.0,6.304657534246576,0.0,5.196438356164384,6.45041095890411,75.77041095890411,23.667123287671235,1134.9624657534246,0.0,0.0,0.0,0.0,3.5846575342465754,0.0,14.22958904109589,35.59479452054794,
