clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,CPU_time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4320735931396484
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,4,4,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,
6,35,0,3,0,9,0,3,0,20,3,9,3,0,0,0,0,0,0,
7,10,0,3,0,0,0,1,0,6,6,9,4,0,0,0,0,0,0,
8,14,14,3,3,4,4,3,3,8,6,9,4,0,0,0,0,0,0,
9,11,11,2,2,3,3,2,2,8,6,9,4,0,0,0,0,0,0,
10,9,9,2,2,3,3,2,2,4,6,9,4,0,0,0,0,0,0,
11,8,8,2,2,2,2,2,2,4,6,9,4,0,0,0,0,0,0,
12,3,3,1,1,1,1,1,1,0,6,9,4,0,0,0,0,0,0,
13,9,9,2,2,3,3,2,2,4,6,9,4,0,0,0,0,0,0,
14,19,19,4,4,6,6,4,4,10,6,9,4,0,0,0,0,0,0,
15,6,6,1,1,2,2,1,1,4,6,9,4,0,0,0,0,0,0,
16,7,7,1,1,2,2,1,1,6,6,9,4,0,0,0,0,0,0,
17,58,16,3,0,6,6,13,1,45,9,9,16,0,0,0,0,0,0,
18,7,65,1,6,2,17,1,6,39,4,0,11,0,0,0,0,6,0,
19,5,5,1,1,2,2,1,1,2,4,0,11,0,0,0,0,0,0,
20,28,28,6,6,8,8,6,6,16,4,0,11,0,0,0,0,0,0,
21,4,4,1,1,1,1,1,1,2,4,0,11,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,
23,18,18,4,4,5,5,4,4,10,4,0,11,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,
5,3,3,1,1,1,1,1,1,0,4,0,11,0,0,0,0,0,0,
6,19,0,2,0,5,0,2,0,10,6,5,13,0,0,0,0,0,0,
7,24,0,6,0,0,0,2,0,16,12,5,15,0,0,0,0,0,0,
8,20,20,4,4,6,6,4,4,12,12,5,15,0,0,0,0,0,0,
9,13,13,3,3,4,4,3,3,6,12,5,15,0,0,0,0,0,0,
10,7,7,1,1,2,2,1,1,6,12,5,15,0,0,0,0,0,0,
11,11,11,2,2,3,3,2,2,8,12,5,15,0,0,0,0,0,0,
12,3,3,1,1,1,1,1,1,0,12,5,15,0,0,0,0,0,0,
13,8,8,2,2,2,2,2,2,4,12,5,15,0,0,0,0,0,0,
14,18,18,4,4,5,5,4,4,10,12,5,15,0,0,0,0,0,0,
