clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,CPU_time
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.26547945205479,0.0,1235.7764383561644,0.0,0.0,0.0,0.0,0.0,0.0,2.433128595352173
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.26547945205479,-0.0019178082191780822,1236.7698630136986,0.0,0.0019178082191780822,0.007671232876712329,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.26547945205479,-0.019178082191780823,1237.7490410958903,0.0,0.01726027397260274,0.0263013698630137,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.26547945205479,-0.057534246575342465,1238.7142465753425,0.0,0.038356164383561646,0.06383561643835617,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.26547945205479,-0.1326027397260274,1239.5827397260273,0.0,0.07506849315068494,0.10904109589041096,0.0,0.0,0.0,
5,3.743835616438356,3.743835616438356,0.8887671232876713,0.8887671232876713,1.2134246575342467,1.2134246575342467,0.8887671232876713,0.8887671232876713,1.5057534246575341,84.26547945205479,-0.002191780821917808,1239.7049315068493,0.0,0.7298630136986302,0.4745205479452055,0.0,0.8602739726027397,0.0,
6,24.92082191780822,0.0,2.1734246575342464,0.0,6.512328767123288,0.0,2.1734246575342464,0.0,14.061643835616438,86.43890410958905,0.9268493150684931,1241.18,0.0,5.583287671232877,1.6194520547945206,0.0,0.0,0.0,
7,17.044109589041096,0.0,4.55972602739726,0.0,0.0,0.0,1.0717808219178082,0.0,11.412602739726028,89.62958904109588,0.2336986301369863,1241.285205479452,1.369041095890411,0.6931506849315069,0.8917808219178082,0.0,0.0,0.0,
8,16.78986301369863,16.78986301369863,3.3578082191780823,3.3578082191780823,4.995616438356165,4.995616438356165,3.3578082191780823,3.3578082191780823,10.157260273972602,86.45643835616438,0.11424657534246575,1238.7627397260273,3.1731506849315068,4.82027397260274,3.020821917808219,0.0,4.700821917808219,0.0,
9,12.271506849315069,12.271506849315069,2.458904109589041,2.458904109589041,3.6506849315068495,3.6506849315068495,2.458904109589041,2.458904109589041,7.406027397260274,86.35808219178082,0.11205479452054795,1237.9975342465752,0.09835616438356165,2.674246575342466,1.2947945205479452,0.0,2.6720547945205477,0.0,
