clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,remain_car_parking_space,remain_motorcycle_parking_space,car_occupied_long_term,motorcycle_occupied_long_term,bicycle_occupied_long_term,CPU_time(in second)
0,0,0,6,0,59,0,46,0,-111,16,99,96,0,0,0,0,0,0,inf,inf,,,,0.7132391929626465
1,0,0,11,0,64,0,50,0,-125,27,163,146,0,0,0,0,0,0,inf,inf,,,,
2,0,0,11,0,50,0,48,0,-109,38,213,194,0,0,0,0,0,0,inf,inf,,,,
3,0,0,10,0,52,0,52,0,-114,48,265,246,0,0,0,0,0,0,inf,inf,,,,
4,0,0,11,0,45,0,48,0,-104,59,310,294,0,0,0,0,0,0,inf,inf,,,,
5,4,2,8,0,53,1,57,0,-113,67,362,351,0,0,0,0,0,0,inf,inf,,,,
6,41,0,12,0,72,0,58,0,-101,79,434,409,0,0,0,0,0,0,inf,inf,,,,
7,19,0,11,0,53,0,60,0,-105,90,487,469,0,0,0,0,0,0,inf,inf,,,,
8,35,15,15,4,80,8,70,3,-130,101,559,536,0,0,0,0,0,0,inf,inf,,,,
9,23,9,14,2,55,5,59,1,-104,113,609,594,0,0,0,0,0,0,inf,inf,,,,
10,11,4,10,1,61,2,50,0,-109,122,668,644,0,0,0,0,0,0,inf,inf,,,,
11,6,6,10,1,56,3,42,1,-101,131,721,685,0,0,0,0,0,0,inf,inf,,,,
12,3,3,10,1,48,1,49,0,-103,140,768,734,0,0,0,0,0,0,inf,inf,,,,
13,14,14,5,3,54,6,49,1,-90,142,816,782,0,0,0,0,0,0,inf,inf,,,,
14,19,19,16,6,52,10,56,4,-106,152,858,834,0,0,0,0,0,0,inf,inf,,,,
15,10,10,8,2,41,4,47,1,-83,158,895,880,0,0,0,0,0,0,inf,inf,,,,
16,10,10,14,2,54,4,56,1,-111,170,945,935,0,0,0,0,0,0,inf,inf,,,,
17,23,23,10,5,48,13,55,3,-88,175,980,987,0,0,0,0,0,0,inf,inf,,,,
18,14,33,14,7,58,20,66,5,-123,182,1018,1048,0,0,0,0,0,0,inf,inf,,,,
19,5,12,9,3,48,7,49,2,-101,188,1059,1095,0,0,0,0,0,0,inf,inf,,,,
20,13,30,8,8,61,15,46,6,-101,188,1105,1135,0,0,0,0,0,0,inf,inf,,,,
21,2,4,6,1,51,2,41,1,-96,193,1154,1175,0,0,0,0,0,0,inf,inf,,,,
22,0,0,10,0,51,0,56,0,-117,203,1205,1231,0,0,0,0,0,0,inf,inf,,,,
23,0,23,14,7,52,5,61,6,-122,210,1252,1286,0,0,0,0,0,0,inf,inf,,,,
0,0,0,14,0,41,0,39,0,-94,224,1293,1325,0,0,0,0,0,0,inf,inf,,,,
1,0,0,7,0,52,0,41,0,-100,231,1345,1366,0,0,0,0,0,0,inf,inf,,,,
2,0,0,11,0,52,0,53,0,-116,242,1397,1419,0,0,0,0,0,0,inf,inf,,,,
3,0,0,13,0,42,0,53,0,-108,255,1439,1472,0,0,0,0,0,0,inf,inf,,,,
4,0,0,6,0,50,0,44,0,-100,261,1489,1516,0,0,0,0,0,0,inf,inf,,,,
5,4,1,11,0,46,0,58,0,-110,272,1535,1574,0,0,0,0,0,0,inf,inf,,,,
6,29,0,15,0,69,0,60,0,-115,287,1604,1634,0,0,0,0,0,0,inf,inf,,,,
7,25,0,11,0,73,0,41,0,-100,298,1677,1675,0,0,0,0,0,0,inf,inf,,,,
8,27,11,17,3,72,6,57,2,-119,312,1743,1730,0,0,0,0,0,0,inf,inf,,,,
9,25,11,13,2,67,6,55,1,-108,323,1804,1784,0,0,0,0,0,0,inf,inf,,,,
10,18,8,14,2,63,4,50,1,-108,335,1863,1833,0,0,0,0,0,0,inf,inf,,,,
11,11,11,13,2,43,6,50,1,-93,346,1900,1882,0,0,0,0,0,0,inf,inf,,,,
12,4,4,5,1,58,2,57,0,-115,350,1956,1939,0,0,0,0,0,0,inf,inf,,,,
13,14,14,12,3,56,6,57,1,-107,359,2006,1995,0,0,0,0,0,0,inf,inf,,,,
14,17,17,11,5,47,8,44,3,-84,365,2045,2036,0,0,0,0,0,0,inf,inf,,,,
15,10,10,14,2,56,4,72,1,-129,377,2097,2107,0,0,0,0,0,0,inf,inf,,,,
16,12,12,11,2,51,5,52,1,-98,386,2143,2158,0,0,0,0,0,0,inf,inf,,,,
17,31,31,11,6,79,17,54,4,-109,391,2205,2208,0,0,0,0,0,0,inf,inf,,,,
18,19,45,13,9,60,27,48,7,-100,395,2238,2249,0,0,0,0,0,0,inf,inf,,,,
19,4,10,9,2,47,6,54,2,-106,402,2279,2301,0,0,0,0,0,0,inf,inf,,,,
20,10,24,12,7,41,12,55,5,-98,407,2308,2351,0,0,0,0,0,0,inf,inf,,,,
21,2,5,10,1,52,3,47,1,-107,416,2357,2397,0,0,0,0,0,0,inf,inf,,,,
22,0,0,3,0,59,0,40,0,-102,419,2416,2437,0,0,0,0,0,0,inf,inf,,,,
23,0,20,9,6,46,4,58,6,-109,422,2458,2489,0,0,0,0,0,0,inf,inf,,,,
0,0,0,9,0,54,0,61,0,-124,431,2512,2550,0,0,0,0,0,0,inf,inf,,,,
1,0,0,7,0,56,0,33,0,-96,438,2568,2583,0,0,0,0,0,0,inf,inf,,,,
2,0,0,9,0,54,0,54,0,-117,447,2622,2637,0,0,0,0,0,0,inf,inf,,,,
3,0,0,13,0,44,0,55,0,-112,460,2666,2692,0,0,0,0,0,0,inf,inf,,,,
4,0,0,3,0,39,0,52,0,-94,463,2705,2744,0,0,0,0,0,0,inf,inf,,,,
5,9,3,15,1,53,1,42,0,-100,477,2757,2786,0,0,0,0,0,0,inf,inf,,,,
6,35,0,12,0,68,0,60,0,-105,489,2825,2846,0,0,0,0,0,0,inf,inf,,,,
7,21,0,13,0,76,0,51,0,-119,502,2901,2897,0,0,0,0,0,0,inf,inf,,,,
8,37,16,17,5,69,8,55,3,-104,514,2962,2949,0,0,0,0,0,0,inf,inf,,,,
9,25,11,10,2,59,6,38,1,-80,522,3015,2986,0,0,0,0,0,0,inf,inf,,,,
10,16,6,11,1,54,3,43,1,-91,532,3066,3028,0,0,0,0,0,0,inf,inf,,,,
11,12,12,8,2,60,6,53,1,-106,538,3120,3080,0,0,0,0,0,0,inf,inf,,,,
12,2,2,11,0,48,1,57,0,-113,549,3167,3137,0,0,0,0,0,0,inf,inf,,,,
13,12,12,15,2,43,5,47,1,-89,562,3205,3183,0,0,0,0,0,0,inf,inf,,,,
14,13,13,14,4,55,6,47,3,-103,572,3254,3227,0,0,0,0,0,0,inf,inf,,,,
15,8,8,12,2,56,3,34,1,-92,582,3307,3260,0,0,0,0,0,0,inf,inf,,,,
16,7,7,11,1,46,3,54,1,-102,592,3350,3313,0,0,0,0,0,0,inf,inf,,,,
17,22,22,13,4,63,12,53,3,-104,601,3401,3363,0,0,0,0,0,0,inf,inf,,,,
18,17,39,13,8,63,23,47,6,-104,606,3441,3404,0,0,0,0,0,0,inf,inf,,,,
19,3,7,7,2,58,4,53,1,-115,611,3495,3456,0,0,0,0,0,0,inf,inf,,,,
20,8,19,18,5,39,10,48,4,-97,624,3524,3500,0,0,0,0,0,0,inf,inf,,,,
21,3,9,8,2,51,5,59,2,-115,630,3570,3557,0,0,0,0,0,0,inf,inf,,,,
22,0,0,10,0,49,0,32,0,-91,640,3619,3589,0,0,0,0,0,0,inf,inf,,,,
23,0,19,12,6,45,4,50,5,-103,646,3660,3634,0,0,0,0,0,0,inf,inf,,,,
0,0,0,15,0,51,0,47,0,-113,661,3711,3681,0,0,0,0,0,0,inf,inf,,,,
1,0,0,8,0,56,0,43,0,-107,669,3767,3724,0,0,0,0,0,0,inf,inf,,,,
2,0,0,14,0,46,0,50,0,-110,683,3813,3774,0,0,0,0,0,0,inf,inf,,,,
3,0,0,10,0,41,0,42,0,-93,693,3854,3816,0,0,0,0,0,0,inf,inf,,,,
4,0,0,5,0,58,0,45,0,-108,698,3912,3861,0,0,0,0,0,0,inf,inf,,,,
5,4,2,11,0,46,1,54,0,-106,709,3957,3915,0,0,0,0,0,0,inf,inf,,,,
6,41,0,13,0,75,0,54,0,-101,722,4032,3969,0,0,0,0,0,0,inf,inf,,,,
7,27,0,10,0,68,0,46,0,-97,732,4100,4015,0,0,0,0,0,0,inf,inf,,,,
8,30,12,15,4,56,6,63,2,-104,743,4150,4076,0,0,0,0,0,0,inf,inf,,,,
9,25,11,15,2,68,6,44,1,-100,756,4212,4119,0,0,0,0,0,0,inf,inf,,,,
10,13,5,11,1,65,2,64,0,-125,766,4275,4183,0,0,0,0,0,0,inf,inf,,,,
11,10,10,6,2,56,5,54,1,-104,770,4326,4236,0,0,0,0,0,0,inf,inf,,,,
12,4,4,10,1,43,2,55,0,-103,779,4367,4291,0,0,0,0,0,0,inf,inf,,,,
13,8,8,11,2,45,3,42,1,-88,788,4409,4332,0,0,0,0,0,0,inf,inf,,,,
14,17,17,9,5,68,8,48,3,-107,792,4469,4377,0,0,0,0,0,0,inf,inf,,,,
15,11,11,12,2,56,4,48,1,-101,802,4521,4424,0,0,0,0,0,0,inf,inf,,,,
16,10,10,10,2,59,4,44,1,-100,810,4576,4467,0,0,0,0,0,0,inf,inf,,,,
17,18,18,11,4,61,10,46,2,-98,817,4627,4511,0,0,0,0,0,0,inf,inf,,,,
18,13,30,9,6,63,18,58,4,-115,820,4672,4565,0,0,0,0,0,0,inf,inf,,,,
19,5,11,7,3,49,6,57,2,-108,824,4715,4620,0,0,0,0,0,0,inf,inf,,,,
20,8,19,8,5,60,10,50,4,-110,827,4765,4666,0,0,0,0,0,0,inf,inf,,,,
21,4,9,6,2,46,5,54,2,-102,831,4806,4718,0,0,0,0,0,0,inf,inf,,,,
22,0,0,7,0,54,0,49,0,-110,838,4860,4767,0,0,0,0,0,0,inf,inf,,,,
23,0,15,8,4,59,3,59,4,-122,842,4916,4822,0,0,0,0,0,0,inf,inf,,,,
0,0,0,9,0,60,0,54,0,-123,851,4976,4876,0,0,0,0,0,0,inf,inf,,,,
1,0,0,1,0,58,0,38,0,-97,852,5034,4914,0,0,0,0,0,0,inf,inf,,,,
2,0,0,3,0,46,0,48,0,-97,855,5080,4962,0,0,0,0,0,0,inf,inf,,,,
3,0,0,7,0,42,0,49,0,-98,862,5122,5011,0,0,0,0,0,0,inf,inf,,,,
4,0,0,10,0,53,0,43,0,-106,872,5175,5054,0,0,0,0,0,0,inf,inf,,,,
5,5,2,11,0,42,1,48,0,-95,883,5216,5102,0,0,0,0,0,0,inf,inf,,,,
6,30,0,12,0,63,0,64,0,-109,895,5279,5166,0,0,0,0,0,0,inf,inf,,,,
7,24,0,14,0,72,0,66,0,-128,909,5351,5232,0,0,0,0,0,0,inf,inf,,,,
8,35,15,15,4,62,8,45,3,-87,920,5405,5274,0,0,0,0,0,0,inf,inf,,,,
9,22,9,17,2,57,5,48,1,-99,935,5457,5321,0,0,0,0,0,0,inf,inf,,,,
10,11,5,9,1,39,2,57,0,-92,943,5494,5378,0,0,0,0,0,0,inf,inf,,,,
11,12,12,11,2,64,6,58,1,-118,952,5552,5435,0,0,0,0,0,0,inf,inf,,,,
12,5,5,12,1,47,2,64,0,-116,963,5597,5499,0,0,0,0,0,0,inf,inf,,,,
13,10,10,13,2,46,4,57,1,-103,974,5639,5555,0,0,0,0,0,0,inf,inf,,,,
14,11,11,10,3,56,6,57,2,-112,981,5689,5610,0,0,0,0,0,0,inf,inf,,,,
15,12,12,8,2,58,5,55,1,-105,987,5742,5664,0,0,0,0,0,0,inf,inf,,,,
16,9,9,11,2,59,4,47,1,-106,996,5797,5710,0,0,0,0,0,0,inf,inf,,,,
17,25,25,12,5,62,14,59,3,-105,1003,5845,5766,0,0,0,0,0,0,inf,inf,,,,
18,13,32,12,6,33,19,62,5,-92,1009,5859,5823,0,0,0,0,0,0,inf,inf,,,,
19,5,12,17,3,55,7,53,2,-120,1023,5907,5874,0,0,0,0,0,0,inf,inf,,,,
20,12,29,12,8,56,15,57,6,-113,1027,5948,5925,0,0,0,0,0,0,inf,inf,,,,
21,2,6,7,1,43,3,47,1,-94,1033,5988,5971,0,0,0,0,0,0,inf,inf,,,,
22,0,0,1,0,53,0,45,0,-99,1034,6041,6016,0,0,0,0,0,0,inf,inf,,,,
23,0,19,9,6,66,4,32,5,-103,1037,6103,6043,0,0,0,0,0,0,inf,inf,,,,
0,0,0,14,0,55,0,47,0,-116,1051,6158,6090,0,0,0,0,0,0,inf,inf,,,,
1,0,0,17,0,56,0,41,0,-114,1068,6214,6131,0,0,0,0,0,0,inf,inf,,,,
2,0,0,3,0,36,0,59,0,-98,1071,6250,6190,0,0,0,0,0,0,inf,inf,,,,
